Page score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Frame,Form,First seen,Last seen
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comments,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/28/2018,7/4/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305488,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/25/2018,6/29/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305686,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/28/2018,7/3/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305965,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,6/1/2018,7/4/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305786,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/25/2018,6/29/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#content,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,65,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#search-container,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,65,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305636,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,66,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305631,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,66,158,TRUE,FALSE,FALSE,6/14/2018,6/29/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305790,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,65,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305844,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/24/2018,6/30/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305200,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,65,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
1,Roku Streaming Stick (2016) Review | How To Make & Do Everything!,http://www.howtomakeonline.org/sdVOPMoneykFIUXE/Roku-Streaming-Stick-(2016)-Review.html,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,4,39,FALSE,FALSE,FALSE,6/17/2018,6/17/2018
1,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#comment389172,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/17/2018,6/17/2018
1,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#answer476479,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/14/2018,6/14/2018
1,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer244114,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/14/2018,6/14/2018
1,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#answer290508,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/17/2018,6/17/2018
1,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#comment221164,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/14/2018,6/14/2018
1,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#comment163194,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/13/2018,6/13/2018
1,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#comment163194,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/15/2018,6/15/2018
1,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer453409,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/14/2018,6/14/2018
1,New Free Movies on The Roku Channel – HD Report,https://hd-report.com/2018/03/22/new-free-movies-on-the-roku-channel/,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,11,169,TRUE,FALSE,FALSE,5/28/2018,7/4/2018
0,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#search,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,166,TRUE,FALSE,FALSE,6/21/2018,6/21/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer218422,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,173,TRUE,FALSE,FALSE,7/1/2018,7/1/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer262022,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,173,TRUE,FALSE,FALSE,7/3/2018,7/3/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer290508,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/18/2018,6/18/2018
0,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#comment348601,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,165,TRUE,FALSE,FALSE,6/19/2018,6/19/2018
0,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#answer218422,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,166,TRUE,FALSE,FALSE,6/20/2018,6/20/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#menu,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,166,TRUE,FALSE,FALSE,6/23/2018,6/23/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://ru.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer453409,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,173,TRUE,FALSE,FALSE,6/28/2018,6/28/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,173,TRUE,FALSE,FALSE,6/26/2018,6/26/2018
0,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/17/2018,6/17/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://ru.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer300199,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,9,173,TRUE,FALSE,FALSE,6/30/2018,6/30/2018
0,SOLVED: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://www.ifixit.com/Answers/View/218254/Why+won't+my+Roku+turn+on#answer476479,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,165,TRUE,FALSE,FALSE,6/18/2018,6/18/2018
0,channels free | folkd.com,http://www.folkd.com/tag/channels+free,https://www.rokuaccountlink.com/steps-to-find-free-roku-channels,Add Free Roku Channels In Your Account,45,191,FALSE,FALSE,FALSE,6/21/2018,6/21/2018
0,channels free | folkd.com,http://www.folkd.com/tag/channels+free,https://www.rokuaccountlink.com/steps-to-find-free-roku-channels,https://www.rokuaccountlink.com/steps-to-find-free-roku...,45,191,FALSE,FALSE,FALSE,6/21/2018,6/21/2018
0,Roku Streaming Stick (2016) Review,https://food-health-vika.com/video/EXUIFkPOVds/Roku-Streaming-Stick-(2016)-Review/,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,1,12,FALSE,FALSE,FALSE,6/29/2018,6/29/2018
0,Roku Streaming Stick (2016) Review | Makeup Guides,http://guideswww.makeupguides.net/sdVOPStepskFIUXE/Roku-Streaming-Stick-(2016)-Review.html,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,1,34,FALSE,FALSE,FALSE,7/5/2018,7/5/2018
0,Musikmesse 2014 ALLEN & HEATH GLD-112 Digital Mixing Console Controller (english) | Makeup Guides,http://guideswww.makeupguides.net/knITyStepsP3nyfO/Musikmesse-2014-ALLEN-&-HEATH-GLD-112-Digital-Mixing-Console-Controller-(english).html,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,1,34,FALSE,FALSE,FALSE,6/18/2018,6/18/2018
0,Roku Streaming Stick (2016) Review | Makeup Guides,http://whichwww.makeupguides.net/sdVOPStepskFIUXE/Roku-Streaming-Stick-(2016)-Review.html,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,2,34,FALSE,FALSE,FALSE,6/28/2018,6/28/2018
