#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
64,52,9,0,http://www.factbites.com/topics/List-of-cities-in-brazil,"List of cities in Brazil - Factbites",34,33,http://www.cheap-tickets-flights.com/air/cheap-flights_brazil_0.html,,"Cheap Flights to Brazil - list of Brazil cities :: Page-1",,Dofollow,,"2015-07-22 14:34:39","2018-04-14 06:02:19",,,0,0,
65,52,9,0,"http://www.factbites.com/topics/Big-Flats-(town),-New-York","Big Flats (town), New York - Factbites",27,34,https://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2017-09-06 02:45:30","2018-03-15 08:41:56",,en,0,0,
66,52,9,0,"http://www.factbites.com/topics/Big-Flats-(town),-New-York","Big Flats (town), New York - Factbites",27,34,http://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2015-07-17 23:43:38","2018-03-15 08:41:56",,en,0,0,
67,52,9,0,"http://www.factbites.com/topics/Bagabag,-Nueva-Vizcaya","Bagabag, Nueva Vizcaya - Factbites",25,28,https://www.cheap-tickets-flights.com/cheap-flights_bagabag.html,,"Cheap Flights to Bagabag, Latest Philippines Bagabag Deals",,Dofollow,,"2017-09-25 03:31:13","2018-04-05 15:53:16",,,0,0,
68,52,9,0,"http://www.factbites.com/topics/Bagabag,-Nueva-Vizcaya","Bagabag, Nueva Vizcaya - Factbites",25,28,http://www.cheap-tickets-flights.com/cheap-flights_bagabag.html,,"Cheap Flights to Bagabag, Latest Philippines Bagabag Deals",,Dofollow,,"2015-11-30 07:25:46","2018-04-05 15:53:16",,,0,0,
69,11,7,0,http://1fungrltravels.com/travel-tips,"TRAVEL TIPS - 1FUNGRL TRAVELS",84,32,https://www.cheap-tickets-flights.com/,"For more travel tips and guidance visit",https://www.cheap-tickets-flights.com/,,Nofollow,,"2018-07-07 05:31:06","2018-07-07 05:31:06",,en,0,0,
70,13,7,0,http://www.how-to-diy.org/ExseDFiXP4OGmy/HOW-TO-GET-CHEAP-FLIGHTS.html,"HOW TO GET CHEAP FLIGHTS | How To Save Money And Do It Yourself!",32,12,https://www.cheap-tickets-flights.com/,"hobby. I always used to book cheap fare flights @",https://www.cheap-tickets-flights.com/,,Dofollow,,"2018-06-07 12:52:33","2018-06-07 12:52:33",,en,0,0,
71,2,7,0,http://www.ipglider.co/www.cheap-tickets-flights.com,"cheap-tickets-flights.com : cheap-tickets-flights",66,4,https://www.cheap-tickets-flights.com/,,,:,Nofollow,Dropped,"2017-10-30 08:59:59","2018-02-09 20:00:11","2018-04-02 23:55:21",,0,0,
72,2,7,0,http://www.ipglider.co/www.cheap-tickets-flights.com,"cheap-tickets-flights.com : cheap-tickets-flights",66,4,http://www.cheap-tickets-flights.com/,,,:,Nofollow,Dropped,"2017-10-30 08:59:59","2018-02-09 20:00:11","2018-04-02 23:55:21",,0,0,
73,11,6,0,https://1fungrltravels.com/travel-tips/,"TRAVEL TIPS - 1FUNGRL TRAVELS",84,39,https://www.cheap-tickets-flights.com/,"For more travel tips and guidance visit",https://www.cheap-tickets-flights.com/,,Nofollow,"Redirected 301 moved permanently","2018-05-28 09:58:39","2018-06-29 09:09:55","2018-07-19 14:41:33",en,0,0,
74,11,6,0,https://1fungrltravels.com/travel-tips,"TRAVEL TIPS - 1FUNGRL TRAVELS",83,33,https://www.cheap-tickets-flights.com/,"For more travel tips and guidance visit",https://www.cheap-tickets-flights.com/,,Nofollow,,"2018-07-17 04:15:48","2018-07-17 04:15:48",,en,0,0,
75,11,6,0,http://1fungrltravels.com/travel-tips/,"TRAVEL TIPS - 1FUNGRL TRAVELS",84,32,https://www.cheap-tickets-flights.com/,"For more travel tips and guidance visit",https://www.cheap-tickets-flights.com/,,Nofollow,"Not canonical anymore","2018-05-28 01:56:09","2018-06-28 08:56:29","2018-07-06 12:34:02",en,0,2,
76,5,6,0,http://www.howtomakeonline.org/ExseDMoneyP4OGmy/HOW-TO-GET-CHEAP-FLIGHTS.html,"HOW TO GET CHEAP FLIGHTS | How To Make & Do Everything!",25,13,https://www.cheap-tickets-flights.com/,"hobby. I always used to book cheap fare flights @",https://www.cheap-tickets-flights.com/,,Dofollow,,"2018-06-27 21:40:32","2018-06-27 21:40:32",,en,0,0,
77,4,5,0,http://www.howto-make.org/ExseDMoneyP4OGmy/HOW-TO-GET-CHEAP-FLIGHTS.html,"HOW TO GET CHEAP FLIGHTS | How To Make & Do Everything!",26,14,https://www.cheap-tickets-flights.com/,"hobby. I always used to book cheap fare flights @",https://www.cheap-tickets-flights.com/,,Dofollow,,"2018-07-05 05:18:36","2018-07-05 05:18:36",,en,0,0,
78,9,5,0,http://www.makeupguides.net/ExseDStepsP4OGmy/HOW-TO-GET-CHEAP-FLIGHTS.html,"HOW TO GET CHEAP FLIGHTS | Makeup Guides",22,10,https://www.cheap-tickets-flights.com/,"hobby. I always used to book cheap fare flights @",https://www.cheap-tickets-flights.com/,,Dofollow,,"2018-05-31 21:12:34","2018-05-31 21:12:34",,en,0,0,
79,1,4,0,https://food-health-365.com/video/ymGO4PDesxE/HOW-TO-GET-CHEAP-FLIGHTS/,"HOW TO GET CHEAP FLIGHTS",9,9,https://www.cheap-tickets-flights.com/,"hobby. I always used to book cheap fare flights @",https://www.cheap-tickets-flights.com/,,Dofollow,,"2018-05-27 00:30:09","2018-05-27 00:30:09",,en,0,0,
80,0,0,0,http://travelermagazine.info/7-air-journey-tricks-to-know-earlier-than-your-flight/,"7 Air Journey Tricks to Know Earlier than Your Flight - Travel Tips & Advices",38,64,https://www.cheap-tickets-flights.com/,"It is helpful. For cheap flight ticket bookings visit",https://www.cheap-tickets-flights.com/,,Dofollow,,"2018-06-03 09:07:09","2018-06-18 09:03:45",,en,0,0,
81,0,0,0,http://www.easybreadrecipes.org/links/linkdash.php/free_stuff/index.html,"Linkdash.com Directory - Free Stuff",1,31,https://www.cheap-tickets-flights.com/,,"Cheap Tickets, Flights",,Dofollow,Dropped,"2017-08-18 00:51:18","2018-02-20 15:38:58","2018-04-20 08:01:29",,0,0,
82,0,0,0,http://www.easybreadrecipes.org/links/linkdash.php/free_stuff/index.html,"Linkdash.com Directory - Free Stuff",1,31,http://www.cheap-tickets-flights.com/,,"Cheap Tickets, Flights",,Dofollow,Dropped,"2016-03-09 04:15:50","2018-02-20 15:38:58","2018-04-20 08:01:29",,0,0,
